"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
689,4,4,4,,9245,2021-05-09T01:24:01.536389Z
688,5,5,5,,9244,2021-05-09T01:13:21.854068Z
687,5,5,5,Super easy,9241,2021-05-09T00:35:24.494669Z
686,3,3,3,,9240,2021-05-09T00:34:26.679878Z
685,2,2,1,,9239,2021-05-09T00:17:11.453761Z
684,5,5,5,,9236,2021-05-09T00:09:45.035497Z
683,5,5,5,,9234,2021-05-08T23:57:55.376343Z
682,5,5,5,,9223,2021-05-08T23:16:06.264686Z
681,3,3,3,Debit card payment? ,9219,2021-05-08T23:05:46.344253Z
680,5,5,5,,9216,2021-05-08T22:54:59.976672Z
679,5,5,5,,9214,2021-05-08T22:41:54.311953Z
678,5,5,5,,9208,2021-05-08T22:05:57.451016Z
677,5,5,5,,9209,2021-05-08T22:05:06.164151Z
676,5,5,5,,9194,2021-05-08T20:44:09.961121Z
675,5,5,5,,9189,2021-05-08T20:14:46.990413Z
674,4,4,4,,9185,2021-05-08T19:38:46.512133Z
673,3,4,4,,9180,2021-05-08T19:10:47.127756Z
672,5,5,5,,9179,2021-05-08T19:09:02.949114Z
671,3,5,5,Spicy sandwich isn’t visible on the kiosk. Sides aren’t available on the website. ,9176,2021-05-08T18:19:26.908639Z
670,5,5,5,Pick up orders may not need Tip option!,9158,2021-05-08T00:42:15.494565Z
669,5,5,5,,9149,2021-05-07T23:00:16.470296Z
668,5,5,5,,9139,2021-05-07T20:12:03.263553Z
667,5,5,5,"After coming here last week on a Monday and finding you closed, I have phoned 2 times this week and did not come because no one answered. Please make a way to know you are open today easier. I love this place!",9138,2021-05-07T20:08:26.203279Z
666,5,5,5,,9136,2021-05-07T19:08:16.911084Z
665,5,5,5,,9132,2021-05-07T02:41:05.916826Z
664,5,5,5,,9124,2021-05-07T00:57:42.56477Z
663,5,5,5,,9122,2021-05-07T00:29:41.002445Z
662,5,5,5,,9118,2021-05-06T22:49:47.914551Z
661,5,5,5,Bigger menu ,9116,2021-05-06T22:29:48.23527Z
660,5,5,3,,9111,2021-05-06T19:48:17.596183Z
659,5,5,5,,9105,2021-05-06T02:54:55.590296Z
658,5,5,5,Nada!,9097,2021-05-06T00:54:07.866322Z
657,5,5,5,,9091,2021-05-05T23:26:18.363621Z
656,3,4,4,Hard to know what the fillings for tacos are to non-Spanish speakers. ,9090,2021-05-05T22:59:01.313024Z
655,5,5,5,,9087,2021-05-05T22:41:02.445595Z
654,4,4,5,,9085,2021-05-05T22:40:49.28573Z
653,5,5,5,,9084,2021-05-05T22:40:21.100393Z
652,5,5,5,,9077,2021-05-05T20:29:58.374235Z
651,5,5,5,,9075,2021-05-05T20:14:54.499729Z
650,4,4,2,,9073,2021-05-05T19:20:38.657554Z
649,5,5,5,,9056,2021-05-04T18:20:31.682364Z
648,5,5,5,,9049,2021-05-03T22:55:43.730903Z
647,5,5,5,,9044,2021-05-03T18:23:12.316184Z
646,5,5,5,,9035,2021-05-03T00:08:18.289328Z
645,5,2,4,,9028,2021-05-02T23:16:13.862089Z
644,5,5,5,More happy hour 😄,9022,2021-05-02T23:11:00.122684Z
643,5,5,5,,9024,2021-05-02T23:10:55.398677Z
642,5,5,5,,9019,2021-05-02T23:04:39.641065Z
641,3,4,4,,9018,2021-05-02T22:56:29.601292Z
640,5,5,5,,9016,2021-05-02T22:49:43.98043Z
639,5,5,5,,9008,2021-05-02T21:55:33.772851Z
638,5,5,5,,9004,2021-05-02T21:30:35.748877Z
637,5,5,5,,8999,2021-05-02T21:03:21.752341Z
636,4,5,4,,8998,2021-05-02T21:00:22.263173Z
635,5,5,5,,8997,2021-05-02T20:51:37.006214Z
634,5,5,5,Good stuff,8994,2021-05-02T20:32:26.901798Z
633,5,5,5,,8993,2021-05-02T20:28:49.232847Z
632,5,4,5,,8992,2021-05-02T20:24:09.478584Z
631,5,5,5,,8989,2021-05-02T20:01:42.414022Z
630,5,5,5,,8988,2021-05-02T20:01:14.824888Z
629,3,3,5,,8981,2021-05-02T19:43:39.920163Z
628,5,5,5,,8977,2021-05-02T19:29:59.150434Z
627,5,5,5,,8970,2021-05-02T18:51:16.408688Z
626,3,5,5,Couldn't order puffcream because it wouldn't let me select the size. Would also be good to be able to customize burger toppings.,8968,2021-05-02T18:18:12.030465Z
625,5,5,5,,8967,2021-05-02T18:16:14.326097Z
624,3,5,5,,8963,2021-05-02T06:06:03.248039Z
623,3,5,5,,8962,2021-05-02T04:29:50.382395Z
622,5,5,5,,8960,2021-05-02T02:26:26.037321Z
621,5,5,5,,8954,2021-05-02T01:00:12.446858Z
620,2,3,2,,8941,2021-05-02T00:12:58.435938Z
619,5,5,5,,8926,2021-05-01T23:05:10.15365Z
618,5,5,5,,8923,2021-05-01T23:02:03.61827Z
